CustomerID,Name,Age,Gender,City,AccountType,AccountOpenDate,LoanID,LoanAmount,InterestRate,TenureMonths,LoanType,LoanStatus,CardID,CardType,CreditLimit,CurrentBalance,LastPaymentDate,CardStatus,TransactionID,TransactionDate,TransactionType,Amount,Merchant
1001,Customer_0,58,Male,Delhi,Current,2015-01-01,5103.0,181484.0,10.11,36.0,Home Loan,Closed,3113.0,Rupay,239963.0,93610.0,2024-08-21,Active,9100.0,2024-04-09,Deposit,196654.0,Uber
1001,Customer_0,58,Male,Delhi,Current,2015-01-01,5103.0,181484.0,10.11,36.0,Home Loan,Closed,3113.0,Rupay,239963.0,93610.0,2024-08-21,Active,9108.0,2024-04-17,Online Payment,69774.0,Swiggy
1001,Customer_0,58,Male,Delhi,Current,2015-01-01,5103.0,181484.0,10.11,36.0,Home Loan,Closed,3113.0,Rupay,239963.0,93610.0,2024-08-21,Active,9167.0,2024-06-15,Online Payment,115182.0,ATM
1001,Customer_0,58,Male,Delhi,Current,2015-01-01,5103.0,181484.0,10.11,36.0,Home Loan,Closed,3113.0,Rupay,239963.0,93610.0,2024-08-21,Active,9187.0,2024-07-05,Online Payment,176141.0,Zomato
1001,Customer_0,58,Male,Delhi,Current,2015-01-01,5103.0,181484.0,10.11,36.0,Home Loan,Closed,3113.0,Rupay,239963.0,93610.0,2024-08-21,Active,9197.0,2024-07-15,Deposit,76432.0,Flipkart
1001,Customer_0,58,Male,Delhi,Current,2015-01-01,5103.0,181484.0,10.11,36.0,Home Loan,Closed,3113.0,Rupay,239963.0,93610.0,2024-08-21,Active,9259.0,2024-09-15,Card Swipe,35031.0,Zomato
1001,Customer_0,58,Male,Delhi,Current,2015-01-01,5103.0,181484.0,10.11,36.0,Home Loan,Closed,3147.0,Visa,223687.0,89588.0,2024-09-24,Closed,9100.0,2024-04-09,Deposit,196654.0,Uber
1001,Customer_0,58,Male,Delhi,Current,2015-01-01,5103.0,181484.0,10.11,36.0,Home Loan,Closed,3147.0,Visa,223687.0,89588.0,2024-09-24,Closed,9108.0,2024-04-17,Online Payment,69774.0,Swiggy
1001,Customer_0,58,Male,Delhi,Current,2015-01-01,5103.0,181484.0,10.11,36.0,Home Loan,Closed,3147.0,Visa,223687.0,89588.0,2024-09-24,Closed,9167.0,2024-06-15,Online Payment,115182.0,ATM
1001,Customer_0,58,Male,Delhi,Current,2015-01-01,5103.0,181484.0,10.11,36.0,Home Loan,Closed,3147.0,Visa,223687.0,89588.0,2024-09-24,Closed,9187.0,2024-07-05,Online Payment,176141.0,Zomato
